;Unnamed: 0;word;weight;company;type;weight_01;cat;index
44;44;youre;-0,252494577;amazon;cons;0,096327834;0;87
298;298;youre;-0,252494577;amazon;pros;0,042073629;1;243
199;199;youll;-0,027765727;amazon;cons;0,035302466;0;337
366;366;youll;-0,027765727;amazon;pros;0,027882127;1;367
45;45;years;-0,190889371;amazon;cons;0,095529537;0;89
279;279;years;-0,190889371;amazon;pros;0,053176392;1;186
68;68;year;-0,186984816;amazon;cons;0,083377683;0;120
297;297;year;-0,186984816;amazon;pros;0,042491026;1;240
41;41;would;-0,324511931;amazon;cons;0,097924428;0;82
352;352;would;-0,324511931;amazon;pros;0,029718674;1;353
329;329;world;0,119284877;amazon;pros;0,033976125;1;320
139;139;worklife;-0,223427332;amazon;cons;0,045680326;0;235
17;17;working;0,051289566;amazon;cons;0,19735675;0;27
211;211;working;0,051289566;amazon;pros;0,200350614;1;34
158;158;workers;0,026963658;amazon;cons;0,041422743;0;209
285;285;workers;0,026963658;amazon;pros;0,046664997;1;275
112;112;worked;-0,044251627;amazon;cons;0,052953699;0;194
304;304;worked;-0,044251627;amazon;pros;0,041322314;1;251
0;0;work;0,206623681;amazon;cons;1;0;1
200;200;work;0,206623681;amazon;pros;1;1;2
142;142;without;-0,219088937;amazon;cons;0,04479333;0;241
135;135;within;-0,004772234;amazon;cons;0,047010821;0;229
294;294;within;-0,004772234;amazon;pros;0,04332582;1;234
389;389;willing;0,084994138;amazon;pros;0,024209032;1;390
74;74;well;0,039566237;amazon;cons;0,077700905;0;102
246;246;well;0,039566237;amazon;pros;0,084397696;1;131
71;71;week;-0,130151844;amazon;cons;0,079386198;0;127
281;281;week;-0,130151844;amazon;pros;0,049670256;1;195
75;75;way;-0,192624729;amazon;cons;0,077346106;0;132
320;320;way;-0,192624729;amazon;pros;0,035729193;1;296
140;140;warehouse;-0,223427332;amazon;cons;0,045680326;0;236
59;59;want;-0,118872017;amazon;cons;0,086659571;0;110
270;270;want;-0,118872017;amazon;pros;0,058686034;1;170
364;364;vacation;0,098475967;amazon;pros;0,028049086;1;365
187;187;use;-0,178308026;amazon;cons;0,036455561;0;313
174;174;unless;-0,186550976;amazon;cons;0,038140855;0;295
167;167;two;-0,194793926;amazon;cons;0,039826149;0;285
155;155;turnover;-0,206073753;amazon;cons;0,04213234;0;269
66;66;training;-0,195227766;amazon;cons;0,084442079;0;118
299;299;training;-0,195227766;amazon;pros;0,04190667;1;244
392;392;top;0,082942556;amazon;pros;0,023624677;1;393
37;37;times;-0,503687636;amazon;cons;0,102980309;0;74
3;3;time;-0,563991323;amazon;cons;0,355596949;0;12
210;210;time;-0,563991323;amazon;pros;0,226145755;1;22
183;183;though;-0,180477223;amazon;cons;0,03689906;0;307
87;87;think;-0,161388286;amazon;cons;0,068830938;0;149
334;334;think;-0,161388286;amazon;pros;0,033725687;1;329
54;54;things;-0,009978308;amazon;cons;0,089675359;0;101
247;247;things;-0,009978308;amazon;pros;0,082477669;1;106
129;129;thing;-0,114533623;amazon;cons;0,048607415;0;217
391;391;thing;-0,114533623;amazon;pros;0,023708156;1;392
302;302;technology;0,146248535;amazon;pros;0,041656232;1;248
354;354;technologies;0,103751465;amazon;pros;0,029551716;1;355
388;388;tech;0,085580305;amazon;pros;0,024375991;1;389
39;39;teams;-0,159652928;amazon;cons;0,098988824;0;80
263;263;teams;-0,159652928;amazon;pros;0,062442608;1;158
20;20;team;-0,119739696;amazon;cons;0,178197623;0;38
220;220;team;-0,119739696;amazon;pros;0,144669839;1;47
351;351;talented;0,104923798;amazon;pros;0,029885633;1;352
185;185;takes;-0,179175705;amazon;cons;0,036632961;0;310
50;50;take;-0,212147505;amazon;cons;0,091005854;0;96
291;291;take;-0,212147505;amazon;pros;0,04482845;1;225
148;148;system;-0,212147505;amazon;cons;0,043374135;0;255
128;128;support;-0,09154013;amazon;cons;0,048696115;0;216
363;363;support;-0,09154013;amazon;pros;0,028216045;1;364
340;340;strong;0,114302462;amazon;pros;0,032556975;1;341
169;169;stressful;-0,190889371;amazon;cons;0,039027852;0;288
163;163;stock;0,138335287;amazon;cons;0,040624446;0;124
253;253;stock;0,138335287;amazon;pros;0,077635863;1;280
117;117;still;-0,247722343;amazon;cons;0,050647508;0;203
156;156;start;0,011723329;amazon;cons;0,041866241;0;239
296;296;start;0,011723329;amazon;pros;0,042741464;1;271
27;27;sometimes;-0,68329718;amazon;cons;0,139701969;0;52
162;162;something;-0,02516269;amazon;cons;0,041156644;0;279
330;330;something;-0,02516269;amazon;pros;0,033892645;1;324
197;197;someone;-0,173535792;amazon;cons;0,035479865;0;334
219;219;smart;0,533118406;amazon;pros;0,151849069;1;45
327;327;skills;0,11957796;amazon;pros;0,034059604;1;318
106;106;short;-0,275488069;amazon;cons;0,056324286;0;187
73;73;shifts;-0,246420824;amazon;cons;0,077967004;0;130
381;381;shifts;-0,246420824;amazon;pros;0,0259621;1;382
47;47;shift;-0,310629067;amazon;cons;0,092957247;0;92
369;369;shift;-0,310629067;amazon;pros;0,027715168;1;370
149;149;senior;-0,210845987;amazon;cons;0,043108036;0;256
