;Unnamed: 0;word;weight;company;type;weight_01;cat;index
43;43;youre;-0,269492808;apple;cons;0,154929577;0;80
308;308;youre;-0,269492808;apple;pros;0,034979147;1;253
361;361;youll;0,061561562;apple;pros;0,02206377;1;362
78;78;years;-0,168811506;apple;cons;0,104879276;0;145
340;340;years;-0,168811506;apple;pros;0,026099825;1;341
121;121;year;-0,10673732;apple;cons;0,073189135;0;215
377;377;year;-0,10673732;apple;pros;0,020180277;1;378
42;42;would;-0,337623013;apple;cons;0,158199195;0;78
351;351;would;-0,337623013;apple;pros;0,024619938;1;352
259;259;world;0,162912913;apple;pros;0,058388269;1;133
108;108;worklife;-0,241483724;apple;cons;0,080231388;0;194
12;12;working;0,043543544;apple;cons;0,336519115;0;21
210;210;working;0,043543544;apple;pros;0,195614153;1;24
240;240;workers;0,209084084;apple;pros;0,074936096;1;90
128;128;worked;0,030780781;apple;cons;0,070171026;0;176
278;278;worked;0,030780781;apple;pros;0,0485672;1;228
0;0;work;0,478978979;apple;cons;1;0;2
201;201;work;0,478978979;apple;pros;0,70657877;1;4
337;337;wonderful;0,073948949;apple;pros;0,026503431;1;338
150;150;without;-0,192278577;apple;cons;0,0638833;0;261
64;64;within;-0,170325511;apple;cons;0,115442656;0;118
319;319;within;-0,170325511;apple;pros;0,031481232;1;288
85;85;well;0,095345345;apple;cons;0,101609658;0;70
231;231;well;0,095345345;apple;pros;0,088524149;1;156
101;101;weekends;-0,262679788;apple;cons;0,087273642;0;182
125;125;week;-0,215745647;apple;cons;0,07168008;0;222
62;62;way;-0,198334595;apple;cons;0,119215292;0;115
330;330;way;-0,198334595;apple;pros;0,028521458;1;320
51;51;want;-0,179409538;apple;cons;0,134054326;0;96
289;289;want;-0,179409538;apple;pros;0,039822414;1;210
360;360;values;0,062312312;apple;pros;0,02233284;1;361
195;195;use;-0,022710068;apple;cons;0,050804829;0;331
358;358;use;-0,022710068;apple;pros;0,023140051;1;359
140;140;unless;-0,202876609;apple;cons;0,067404427;0;244
349;349;truly;0,069444444;apple;pros;0,024889008;1;350
70;70;training;0,163663664;apple;cons;0,111418511;0;51
223;223;training;0,163663664;apple;pros;0,118256424;1;128
199;199;tough;-0,150643452;apple;cons;0,050050302;0;335
181;181;top;-0,026495079;apple;cons;0,053571429;0;310
352;352;top;-0,026495079;apple;pros;0,023947262;1;353
35;35;times;-0,515518547;apple;cons;0,171277666;0;67
4;4;time;-0,730507192;apple;cons;0,551307847;0;12
214;214;time;-0,730507192;apple;pros;0,165074667;1;29
143;143;though;-0,199091597;apple;cons;0,066146881;0;250
58;58;think;-0,38001514;apple;cons;0,126257545;0;107
72;72;things;-0,110522332;apple;cons;0,110412475;0;132
292;292;things;-0,110522332;apple;pros;0,039418808;1;213
198;198;thing;-0,150643452;apple;cons;0,050050302;0;334
247;247;technology;0,189564565;apple;pros;0,067940266;1;106
338;338;tech;0,073948949;apple;pros;0,026503431;1;339
180;180;teams;-0,162755488;apple;cons;0,054074447;0;309
45;45;team;0,163663664;apple;cons;0,150150905;0;43
220;220;team;0,163663664;apple;pros;0,138974842;1;83
302;302;talented;0,100975976;apple;pros;0,036189964;1;243
61;61;take;-0,202119606;apple;cons;0,119215292;0;114
332;332;take;-0,202119606;apple;pros;0,027848782;1;325
320;320;supportive;0,087087087;apple;pros;0,031212162;1;289
96;96;support;-0,012112036;apple;cons;0,091046278;0;175
280;280;support;-0,012112036;apple;pros;0,046549173;1;183
381;381;strong;0,054804805;apple;pros;0,019642136;1;382
80;80;stressful;-0,314155942;apple;cons;0,104376258;0;148
146;146;stress;-0,195306586;apple;cons;0,064889336;0;256
93;93;stores;-0,178652536;apple;cons;0,093309859;0;170
393;393;stores;-0,178652536;apple;pros;0,018162249;1;394
18;18;store;-0,495079485;apple;cons;0,277414487;0;37
256;256;store;-0,495079485;apple;pros;0,060406296;1;126
245;245;stock;0,193318318;apple;pros;0,069285618;1;101
83;83;still;-0,308099924;apple;cons;0,102364185;0;153
137;137;staff;0,001126126;apple;cons;0,067907445;0;236
300;300;staff;0,001126126;apple;pros;0,036728104;1;240
23;23;sometimes;-0,708554126;apple;cons;0,235412475;0;47
160;160;something;0,01951952;apple;cons;0,060110664;0;216
293;293;something;0,01951952;apple;pros;0,039149738;1;276
248;248;smart;0,184309309;apple;pros;0,066056774;1;109
294;294;skills;0,108483483;apple;pros;0,038880667;1;217
196;196;shifts;-0,151400454;apple;cons;0,050301811;0;332
151;151;shift;-0,190764572;apple;cons;0,063380282;0;263
132;132;service;-0,046934141;apple;cons;0,06916499;0;232
328;328;service;-0,046934141;apple;pros;0,028655994;1;314
168;168;see;-0,065102195;apple;cons;0,057847082;0;292
385;385;see;-0,065102195;apple;pros;0,019373066;1;386
156;156;scheduling;-0,182437547;apple;cons;0,060613682;0;271
44;44;schedule;-0,282361847;apple;cons;0,152162978;0;82
321;321;schedule;-0,282361847;apple;pros;0,031212162;1;290
99;99;say;-0,267221802;apple;cons;0,088782696;0;179
82;82;sales;-0,174110522;apple;cons;0,102615694;0;152
353;353;sales;-0,174110522;apple;pros;0,023947262;1;354
149;149;salary;0,046921922;apple;cons;0,064134809;0;167
274;274;salary;0,046921922;apple;pros;0,051123369;1;259
95;95;room;-0,147615443;apple;cons;0,092555332;0;173
357;357;room;-0,147615443;apple;pros;0,023274586;1;358
136;136;role;-0,205147615;apple;cons;0,068158954;0;239
