;Unnamed: 0;word;weight;company;type;weight_01;cat;index
40;40;youre;-0,331541219;google;cons;0,1625;0;80
294;294;youre;-0,331541219;google;pros;0,038188762;1;222
344;344;youll;0,062909567;google;pros;0,026186579;1;340
63;63;years;-0,234767025;google;cons;0,113;0;124
345;345;years;-0,234767025;google;pros;0,025913803;1;342
183;183;year;-0,177419355;google;cons;0,0495;0;324
69;69;would;-0,249103943;google;cons;0,109;0;131
376;376;would;-0,249103943;google;pros;0,021549373;1;377
230;230;world;0,269986894;google;pros;0,11238407;1;54
198;198;worklife;-0,014336918;google;cons;0,0465;0;349
366;366;worklife;-0,014336918;google;pros;0,023186034;1;367
14;14;working;0,163826999;google;cons;0,2625;0;21
213;213;working;0,163826999;google;pros;0,211402073;1;35
257;257;workers;0,150065531;google;pros;0,062465903;1;120
291;291;worked;0,095019659;google;pros;0,039552646;1;212
0;0;work;1;google;cons;1;0;2
201;201;work;1;google;pros;0,961811238;1;5
340;340;wonderful;0,064875491;google;pros;0,02700491;1;327
186;186;without;-0,17562724;google;cons;0,049;0;329
152;152;within;-0,048387097;google;cons;0,059;0;272
351;351;within;-0,048387097;google;pros;0,024822695;1;352
75;75;well;0,080602883;google;cons;0,106;0;78
238;238;well;0,080602883;google;pros;0,091380251;1;138
73;73;way;-0,193548387;google;cons;0,1065;0;136
334;334;way;-0,193548387;google;pros;0,028641571;1;310
91;91;want;-0,034050179;google;cons;0,088;0;168
285;285;want;-0,034050179;google;pros;0,042825968;1;195
129;129;view;-0,241935484;google;cons;0,0675;0;226
134;134;used;-0,234767025;google;cons;0,0655;0;239
353;353;travel;0,059633028;google;pros;0,024822695;1;354
124;124;top;-0,017921147;google;cons;0,0705;0;219
304;304;top;-0,017921147;google;pros;0,03573377;1;240
328;328;tools;0,072083879;google;pros;0,030005456;1;297
56;56;times;-0,449820789;google;cons;0,1255;0;106
9;9;time;-0,740143369;google;cons;0,3575;0;25
241;241;time;-0,740143369;google;pros;0,082378614;1;86
132;132;though;-0,23655914;google;cons;0,066;0;234
34;34;think;-0,449820789;google;cons;0,174;0;70
343;343;think;-0,449820789;google;pros;0,026459356;1;335
25;25;things;-0,195340502;google;cons;0,201;0;58
243;243;things;-0,195340502;google;pros;0,079923622;1;90
150;150;thing;-0,080645161;google;cons;0,059;0;270
391;391;thing;-0,080645161;google;pros;0,019912711;1;392
136;136;theres;-0,231182796;google;cons;0,0645;0;245
273;273;technology;0,116644823;google;pros;0,048554283;1;164
387;387;technical;0,048492792;google;pros;0,020185488;1;388
302;302;tech;0,086500655;google;pros;0,036006547;1;236
57;57;teams;-0,182795699;google;cons;0,1255;0;107
290;290;teams;-0,182795699;google;pros;0,040643753;1;207
27;27;team;-0,086021505;google;cons;0,196;0;60
235;235;team;-0,086021505;google;pros;0,093835243;1;71
282;282;talented;0,104849279;google;pros;0,043644299;1;191
397;397;talent;0,046526868;google;pros;0,019367158;1;398
192;192;takes;-0,172043011;google;cons;0,048;0;337
83;83;take;-0,137992832;google;cons;0,098;0;153
317;317;take;-0,137992832;google;pros;0,032460447;1;268
393;393;support;0,047182176;google;pros;0,019639935;1;394
318;318;super;0,077981651;google;pros;0,032460447;1;269
390;390;stuff;0,047837484;google;pros;0,019912711;1;391
196;196;structure;-0,168458781;google;cons;0,047;0;346
336;336;strong;0,068152031;google;pros;0,028368794;1;313
185;185;stressful;-0,177419355;google;cons;0,0495;0;326
81;81;still;-0,132616487;google;cons;0,0985;0;150
310;310;still;-0,132616487;google;pros;0,033551555;1;256
113;113;start;-0,134408602;google;cons;0,075;0;203
385;385;start;-0,134408602;google;pros;0,020458265;1;386
13;13;sometimes;-0,94265233;google;cons;0,263;0;34
172;172;something;0,004587156;google;cons;0,0525;0;289
324;324;something;0,004587156;google;pros;0,030551009;1;307
354;354;software;0,05897772;google;pros;0,024549918;1;355
381;381;snacks;0,050458716;google;pros;0,021003819;1;382
348;348;smartest;0,06225426;google;pros;0,025913803;1;345
98;98;smart;0,619921363;google;cons;0,083;0;14
209;209;smart;0,619921363;google;pros;0,303327878;1;178
105;105;small;-0,290322581;google;cons;0,081;0;187
65;65;slow;-0,397849462;google;cons;0,111;0;127
170;170;skills;-0,189964158;google;cons;0,053;0;303
157;157;size;-0,207885305;google;cons;0,058;0;280
384;384;site;0,049803408;google;pros;0,020731042;1;385
165;165;since;-0,198924731;google;cons;0,0555;0;292
131;131;senior;-0,238351254;google;cons;0,0665;0;231
162;162;seems;-0,200716846;google;cons;0,056;0;287
148;148;see;-0,216845878;google;cons;0,0605;0;262
326;326;scale;0,072739187;google;pros;0,030278232;1;293
108;108;say;-0,155913978;google;cons;0,0795;0;192
394;394;say;-0,155913978;google;pros;0,019639935;1;395
96;96;sales;-0,310035842;google;cons;0,0865;0;173
107;107;salary;0,142201835;google;cons;0,0805;0;65
232;232;salary;0,142201835;google;pros;0,103109656;1;190
140;140;roles;-0,224014337;google;cons;0,0625;0;251
119;119;role;-0,259856631;google;cons;0,0725;0;211
177;177;right;-0,02688172;google;cons;0,051;0;316
360;360;right;-0,02688172;google;pros;0,023731588;1;361
191;191;review;-0,172043011;google;cons;0,048;0;336
349;349;resume;0,061598952;google;pros;0,025641026;1;348
278;278;resources;0,110091743;google;pros;0,045826514;1;177
16;16;really;0,031454784;google;cons;0,2515;0;32
219;219;really;0,031454784;google;pros;0,150300055;1;39
166;166;real;-0,197132616;google;cons;0,055;0;295
187;187;quite;-0,17562724;google;cons;0,049;0;330
362;362;quality;0,056356488;google;pros;0,023458811;1;363
116;116;promotions;-0,265232975;google;cons;0,074;0;208
48;48;promotion;-0,505376344;google;cons;0,141;0;94
79;79;promoted;-0,360215054;google;cons;0,1005;0;147
22;22;projects;0,06225426;google;cons;0,212;0;36
220;220;projects;0,06225426;google;pros;0,141571195;1;52
74;74;project;-0,220430108;google;cons;0,106;0;137
356;356;project;-0,220430108;google;pros;0,024277141;1;357
182;182;products;0,108125819;google;cons;0,05;0;101
246;246;products;0,108125819;google;pros;0,07228587;1;323
128;128;product;-0,093189964;google;cons;0,069;0;224
363;363;product;-0,093189964;google;pros;0,023458811;1;364
45;45;process;-0,525089606;google;cons;0,1465;0;89
199;199;problems;0,038007864;google;cons;0,0465;0;202
288;288;problems;0,038007864;google;pros;0,041189307;1;350
174;174;pretty;0,011795544;google;cons;0,0525;0;258
312;312;pretty;0,011795544;google;pros;0,033551555;1;309
120;120;pressure;-0,258064516;google;cons;0,072;0;213
133;133;poor;-0,234767025;google;cons;0,0655;0;238
38;38;politics;-0,600358423;google;cons;0,1675;0;77
87;87;political;-0,329749104;google;cons;0,092;0;158
53;53;place;0,29095675;google;cons;0,1335;0;26
215;215;place;0,29095675;google;pros;0,193944354;1;100
361;361;personal;0,056356488;google;pros;0,023458811;1;362
160;160;perks;0,920052425;google;cons;0,057;0;7
204;204;perks;0,920052425;google;pros;0,414075286;1;285
97;97;performance;-0,302867384;google;cons;0,0845;0;175
3;3;people;0,94429882;google;cons;0,6265;0;3
202;202;people;0,94429882;google;pros;0,734860884;1;13
329;329;peers;0,072083879;google;pros;0,030005456;1;298
94;94;pay;0,182830931;google;cons;0,087;0;47
226;226;pay;0,182830931;google;pros;0,123567921;1;171
316;316;part;0,079292267;google;pros;0,033006001;1;267
319;319;overall;0,077326343;google;pros;0,03218767;1;273
89;89;outside;-0,318996416;google;cons;0,089;0;163
194;194;others;-0,172043011;google;cons;0,048;0;339
93;93;organization;-0,311827957;google;cons;0,087;0;170
254;254;opportunity;0,155307995;google;pros;0,064648118;1;113
80;80;opportunities;0,240498034;google;cons;0,1005;0;31
218;218;opportunities;0,240498034;google;pros;0,154937261;1;148
262;262;open;0,138925295;google;pros;0,057828696;1;139
39;39;one;-0,136200717;google;cons;0,1635;0;79
250;250;one;-0,136200717;google;pros;0,068466994;1;109
70;70;often;-0,387096774;google;cons;0,108;0;133
159;159;offices;0,00327654;google;cons;0,058;0;265
314;314;offices;0,00327654;google;pros;0,033006001;1;282
62;62;office;0,00655308;google;cons;0,114;0;112
253;253;office;0,00655308;google;pros;0,064920895;1;121
35;35;nothing;-0,605734767;google;cons;0,169;0;74
71;71;none;-0,385304659;google;cons;0,1075;0;134
154;154;non;-0,209677419;google;cons;0,0585;0;275
224;224;nice;0,315858453;google;pros;0,131478451;1;43
54;54;new;-0,019713262;google;cons;0,131;0;102
249;249;new;-0,019713262;google;pros;0,068466994;1;108
118;118;never;-0,098566308;google;cons;0,073;0;210
352;352;never;-0,098566308;google;pros;0,024822695;1;353
46;46;need;-0,360215054;google;cons;0,145;0;91
357;357;need;-0,360215054;google;pros;0,024277141;1;358
10;10;much;-0,865591398;google;cons;0,3245;0;28
279;279;much;-0,865591398;google;pros;0,04528096;1;181
59;59;move;-0,265232975;google;cons;0,1175;0;116
358;358;move;-0,265232975;google;pros;0,023731588;1;359
149;149;mountain;-0,216845878;google;cons;0,0605;0;263
364;364;motivated;0,056356488;google;pros;0,023458811;1;365
359;359;money;0,057011796;google;pros;0,023731588;1;360
123;123;might;-0,252688172;google;cons;0,0705;0;218
102;102;middle;-0,295698925;google;cons;0,0825;0;183
130;130;means;-0,240143369;google;cons;0,067;0;229
388;388;meals;0,048492792;google;pros;0,020185488;1;389
61;61;may;-0,41218638;google;cons;0,115;0;119
7;7;many;-0,761648746;google;cons;0,383;0;22
236;236;many;-0,761648746;google;pros;0,093016912;1;72
30;30;managers;-0,480286738;google;cons;0,19;0;63
325;325;managers;-0,480286738;google;pros;0,030551009;1;290
51;51;manager;-0,370967742;google;cons;0,1385;0;97
398;398;manager;-0,370967742;google;pros;0,019094381;1;399
8;8;management;-0,82078853;google;cons;0,381;0;23
239;239;management;-0,82078853;google;pros;0,082924168;1;84
121;121;making;-0,256272401;google;cons;0,0715;0;214
135;135;makes;-0,05734767;google;cons;0,065;0;243
342;342;makes;-0,05734767;google;pros;0,026732133;1;331
36;36;make;-0,163082437;google;cons;0,168;0;75
252;252;make;-0,163082437;google;pros;0,066830333;1;111
355;355;lunch;0,058322412;google;pros;0,024277141;1;356
110;110;low;-0,275985663;google;cons;0,077;0;198
292;292;love;0,093709043;google;pros;0,039007092;1;216
42;42;lots;0,187418087;google;cons;0,1555;0;30
217;217;lots;0,187418087;google;pros;0,162847791;1;82
15;15;lot;-0,012544803;google;cons;0,259;0;37
221;221;lot;-0,012544803;google;pros;0,13938898;1;38
18;18;long;-0,704301075;google;cons;0,2355;0;45
379;379;long;-0,704301075;google;pros;0,021276596;1;380
43;43;little;-0,551971326;google;cons;0,154;0;83
101;101;limited;-0,295698925;google;cons;0,0825;0;182
11;11;like;-0,514336918;google;cons;0,314;0;29
237;237;like;-0,514336918;google;pros;0,093016912;1;73
24;24;life;0,047837484;google;cons;0,203;0;44
225;225;life;0,047837484;google;pros;0,13066012;1;57
58;58;level;-0,275985663;google;cons;0,1175;0;115
374;374;level;-0,275985663;google;pros;0,022094926;1;375
50;50;less;-0,498207885;google;cons;0,139;0;96
256;256;learning;0,152031455;google;pros;0,063284233;1;118
228;228;learn;0,279816514;google;pros;0,116475723;1;51
169;169;leadership;-0,041218638;google;cons;0,0535;0;302
369;369;leadership;-0,041218638;google;pros;0,022913257;1;370
29;29;large;-0,489247312;google;cons;0,192;0;62
327;327;large;-0,489247312;google;pros;0,030278232;1;294
66;66;lack;-0,397849462;google;cons;0,111;0;128
85;85;know;-0,197132616;google;cons;0,094;0;155
380;380;know;-0,197132616;google;pros;0,021276596;1;381
141;141;keep;-0,222222222;google;cons;0,062;0;252
395;395;k;0,046526868;google;pros;0,019367158;1;396
189;189;jobs;-0,173835125;google;cons;0,0485;0;333
20;20;job;-0,26344086;google;cons;0,2185;0;48
244;244;job;-0,26344086;google;pros;0,079105292;1;92
298;298;ive;0,087811271;google;pros;0,0365521;1;230
151;151;isnt;-0,211469534;google;cons;0,059;0;271
82;82;internal;-0,157706093;google;cons;0,098;0;152
331;331;internal;-0,157706093;google;pros;0,029459902;1;301
229;229;interesting;0,275229358;google;pros;0,114566285;1;53
303;303;intelligent;0,086500655;google;pros;0,036006547;1;237
297;297;innovative;0,088466579;google;pros;0,036824877;1;228
321;321;innovation;0,076671035;google;pros;0,031914894;1;278
333;333;infrastructure;0,069462647;google;pros;0,028914348;1;306
332;332;industry;0,069462647;google;pros;0,028914348;1;305
372;372;incredibly;0,054390564;google;pros;0,02264048;1;373
335;335;incredible;0,068807339;google;pros;0,028641571;1;311
77;77;impact;0;google;cons;0,1025;0;142
