;Unnamed: 0;word;weight;company;type;wieght_01;cat;index
90;90;youre;-0,137844612;microsoft;cons;0,111621799;0;157
327;327;youre;-0,137844612;microsoft;pros;0,031528593;1;307
38;38;years;-0,318295739;microsoft;cons;0,2037645;0;71
285;285;years;-0,318295739;microsoft;pros;0,045988258;1;205
74;74;year;-0,244987469;microsoft;cons;0,126942438;0;133
397;397;year;-0,244987469;microsoft;pros;0,020547945;1;398
94;94;would;-0,311403509;microsoft;cons;0,108776538;0;163
240;240;world;0,130084214;microsoft;pros;0,078930202;1;96
292;292;worklife;0,070596667;microsoft;pros;0,042835399;1;222
26;26;working;0,114674789;microsoft;cons;0,239220836;0;24
212;212;working;0,114674789;microsoft;pros;0,188410524;1;54
346;346;workers;0,046049095;microsoft;pros;0,027940857;1;347
308;308;worked;0,059845906;microsoft;pros;0,036312242;1;262
0;0;work;0,829421251;microsoft;cons;1;0;1
200;200;work;0,829421251;microsoft;pros;1;1;6
168;168;without;-0,188596491;microsoft;cons;0,065878748;0;288
114;114;within;-0,006892231;microsoft;cons;0,093455898;0;199
289;289;within;-0,006892231;microsoft;pros;0,045227223;1;212
378;378;wide;0,038702741;microsoft;pros;0,023483366;1;379
66;66;well;0,035835872;microsoft;cons;0,13679142;0;82
236;236;well;0,035835872;microsoft;pros;0,089693412;1;117
51;51;way;-0,474310777;microsoft;cons;0,165681768;0;91
89;89;want;-0,04197995;microsoft;cons;0,112278398;0;156
280;280;want;-0,04197995;microsoft;pros;0,048488802;1;187
384;384;vision;0,037448486;microsoft;pros;0,022722331;1;385
335;335;variety;0,048736786;microsoft;pros;0,029571646;1;329
189;189;used;-0,013784461;microsoft;cons;0,059750492;0;323
352;352;used;-0,013784461;microsoft;pros;0,027288541;1;353
162;162;trying;-0,19235589;microsoft;cons;0,067191946;0;281
276;276;training;0,082243326;microsoft;pros;0,049902153;1;179
98;98;top;-0,079573935;microsoft;cons;0,104836945;0;173
300;300;top;-0,079573935;microsoft;pros;0,038269189;1;246
396;396;tools;0,034044078;microsoft;pros;0,020656664;1;397
71;71;times;-0,372180451;microsoft;cons;0,130006566;0;127
9;9;time;-0,61716792;microsoft;cons;0,391114029;0;21
237;237;time;-0,61716792;microsoft;pros;0,087192868;1;84
88;88;think;-0,324561404;microsoft;cons;0,113372729;0;154
42;42;things;-0,19235589;microsoft;cons;0,190194791;0;77
262;262;things;-0,19235589;microsoft;pros;0,061100239;1;141
169;169;thing;-0,187343358;microsoft;cons;0,065441016;0;291
177;177;technology;0,150689841;microsoft;cons;0,063690085;0;49
223;223;technology;0,150689841;microsoft;pros;0,123070233;1;305
255;255;technologies;0,10625336;microsoft;pros;0,064470537;1;128
159;159;technical;0,004658663;microsoft;cons;0,068067411;0;259
306;306;technical;0,004658663;microsoft;pros;0,0366384;1;278
194;194;tech;0,018097115;microsoft;cons;0,05931276;0;233
296;296;tech;0,018097115;microsoft;pros;0,040443575;1;331
20;20;teams;-0,355889724;microsoft;cons;0,272269643;0;43
247;247;teams;-0,355889724;microsoft;pros;0,073494238;1;105
12;12;team;-0,340225564;microsoft;cons;0,350404903;0;28
227;227;team;-0,340225564;microsoft;pros;0,115025005;1;57
290;290;talented;0,072388461;microsoft;pros;0,043922592;1;218
76;76;take;-0,202380952;microsoft;cons;0,124097177;0;139
358;358;take;-0,202380952;microsoft;pros;0,026527506;1;359
28;28;system;-0,6660401;microsoft;cons;0,232654848;0;56
331;331;support;0,049991041;microsoft;pros;0,030332681;1;316
307;307;strong;0,060025085;microsoft;pros;0,036420961;1;261
161;161;stock;-0,007518797;microsoft;cons;0,067410812;0;280
323;323;stock;-0,007518797;microsoft;pros;0,032180909;1;297
31;31;still;-0,359649123;microsoft;cons;0,225651127;0;61
277;277;still;-0,359649123;microsoft;pros;0,049684714;1;181
97;97;stack;-0,304511278;microsoft;cons;0,106369009;0;168
340;340;stable;0,047661709;microsoft;pros;0,02891933;1;341
24;24;sometimes;-0,716165414;microsoft;cons;0,25016415;0;48
185;185;something;-0,014411028;microsoft;cons;0,060625958;0;318
349;349;something;-0,014411028;microsoft;pros;0,027614699;1;350
173;173;software;0,071492564;microsoft;cons;0,06456555;0;101
245;245;software;0,071492564;microsoft;pros;0,075451185;1;298
207;207;smart;0,456728185;microsoft;pros;0,277125462;1;13
25;25;slow;-0,686090226;microsoft;cons;0,239658569;0;53
375;375;skills;0,039777818;microsoft;pros;0,024135682;1;376
388;388;services;0,03637341;microsoft;pros;0,022070015;1;389
82;82;senior;-0,34085213;microsoft;cons;0,119063252;0;147
178;178;seems;-0,182330827;microsoft;cons;0,063690085;0;306
164;164;see;-0,191102757;microsoft;cons;0,066754213;0;283
399;399;schedule;0,03350654;microsoft;pros;0,020330507;1;400
175;175;say;-0,182957393;microsoft;cons;0,063908952;0;302
371;371;satya;0,040315356;microsoft;pros;0,02446184;1;372
104;104;sales;-0,282581454;microsoft;cons;0,098708689;0;184
126;126;salary;0,128650779;microsoft;cons;0,088859707;0;51
225;225;salary;0,128650779;microsoft;pros;0,122200478;1;217
158;158;roles;-0,028822055;microsoft;cons;0,068505143;0;275
338;338;roles;-0,028822055;microsoft;pros;0,02902805;1;338
137;137;role;-0,229949875;microsoft;cons;0,080323922;0;237
117;117;right;0,000358359;microsoft;cons;0,0927993;0;201
284;284;right;0,000358359;microsoft;pros;0,046314416;1;203
156;156;reviews;-0,200501253;microsoft;cons;0,070037207;0;270
13;13;review;-0,953007519;microsoft;cons;0,332895601;0;30
258;258;resources;0,10338649;microsoft;pros;0,062731028;1;134
133;133;redmond;-0,238095238;microsoft;cons;0,083169184;0;228
36;36;really;0,004479484;microsoft;cons;0,216021011;0;64
229;229;really;0,004479484;microsoft;pros;0,110023918;1;67
151;151;real;-0,213659148;microsoft;cons;0,074633399;0;258
140;140;rather;-0,228696742;microsoft;cons;0,07988619;0;240
118;118;ranking;-0,26566416;microsoft;cons;0,0927993;0;204
191;191;quality;-0,170426065;microsoft;cons;0,059531626;0;325
184;184;promotions;-0,174185464;microsoft;cons;0,060844824;0;317
182;182;promotion;-0,176691729;microsoft;cons;0,061720289;0;313
108;108;projects;0,051066117;microsoft;cons;0,095863427;0;97
241;241;projects;0,051066117;microsoft;pros;0,078604044;1;190
154;154;project;-0,200501253;microsoft;cons;0,070037207;0;268
363;363;professional;0,042286329;microsoft;pros;0,025657752;1;364
75;75;products;0,142626769;microsoft;cons;0,125410374;0;34
218;218;products;0,142626769;microsoft;pros;0,148836704;1;136
59;59;product;-0,134711779;microsoft;cons;0,145764938;0;108
279;279;product;-0,134711779;microsoft;pros;0,049032398;1;185
128;128;processes;-0,25;microsoft;cons;0,087327643;0;220
34;34;process;-0,629072682;microsoft;cons;0,219741738;0;65
351;351;problems;0,044974019;microsoft;pros;0,027288541;1;352
318;318;pretty;0,054649704;microsoft;pros;0,033159382;1;285
174;174;pressure;-0,184210526;microsoft;cons;0,064346684;0;299
395;395;potential;0,034044078;microsoft;pros;0,020656664;1;396
64;64;poor;-0,398496241;microsoft;cons;0,139198949;0;114
8;8;politics;-1,149122807;microsoft;cons;0,401400744;0;20
49;49;political;-0,481203008;microsoft;cons;0,168089297;0;89
365;365;plenty;0,041748791;microsoft;pros;0,025331594;1;366
77;77;place;0,156602759;microsoft;cons;0,123659444;0;32
216;216;place;0,156602759;microsoft;pros;0,156447054;1;140
252;252;perks;0,107865974;microsoft;pros;0,065449011;1;124
53;53;performance;-0,468045113;microsoft;cons;0,163493106;0;94
3;3;people;0,4861136;microsoft;cons;0,621361348;0;5
204;204;people;0,4861136;microsoft;pros;0,60360948;1;10
91;91;pay;0,198172371;microsoft;cons;0,111621799;0;27
214;214;pay;0,198172371;microsoft;pros;0,175690367;1;158
366;366;passionate;0,041569611;microsoft;pros;0,025222875;1;367
199;199;part;0,00824225;microsoft;cons;0,058218429;0;277
317;317;part;0,00824225;microsoft;pros;0,033920417;1;340
283;283;package;0,076688765;microsoft;pros;0,046531855;1;198
324;324;overall;0,052678731;microsoft;pros;0,03196347;1;300
142;142;outside;-0,224937343;microsoft;cons;0,078572992;0;243
147;147;others;-0,215538847;microsoft;cons;0,075289998;0;251
85;85;organization;-0,20802005;microsoft;cons;0,115342526;0;151
393;393;organization;-0,20802005;microsoft;pros;0,021200261;1;394
172;172;org;-0,186090226;microsoft;cons;0,065003283;0;295
350;350;options;0,045332378;microsoft;pros;0,02750598;1;351
228;228;opportunity;0,187779968;microsoft;pros;0,113937813;1;59
86;86;opportunities;0,290808099;microsoft;cons;0,114467061;0;17
209;209;opportunities;0,290808099;microsoft;pros;0,233311589;1;152
313;313;open;0,057158215;microsoft;pros;0,034681452;1;271
39;39;one;-0,167919799;microsoft;cons;0,202889035;0;72
248;248;one;-0,167919799;microsoft;pros;0,07164601;1;110
81;81;old;-0,348370927;microsoft;cons;0,121689648;0;145
63;63;often;-0,404135338;microsoft;cons;0,141168746;0;113
103;103;office;0,015230245;microsoft;cons;0,099146422;0;149
264;264;office;0,015230245;microsoft;pros;0,058490976;1;183
107;107;nothing;-0,275062657;microsoft;cons;0,096082294;0;189
171;171;none;-0,186090226;microsoft;cons;0,065003283;0;294
190;190;non;-0,171052632;microsoft;cons;0,059750492;0;324
